Frame Number,Car ID,Lane (Left/Right),Speed (Km/h),Violation
493,31,Left,tensor(56.2518),Yes
493,10,Right,tensor(11.9991),Yes
493,28,Right,tensor(35.1409),Yes
493,32,Left,tensor(22.6561),Yes
494,34,Right,tensor(114.0427),No
494,31,Left,tensor(64.7151),Yes
494,10,Right,tensor(11.8948),Yes
494,22,Right,tensor(31.6630),Yes
494,32,Left,tensor(18.2097),Yes
495,34,Right,tensor(105.4751),No
495,31,Left,tensor(63.9890),Yes
495,10,Right,tensor(14.3975),Yes
495,22,Right,tensor(35.0771),Yes
495,32,Left,tensor(24.7917),Yes
496,34,Right,tensor(104.8622),No
496,31,Left,tensor(62.8719),Yes
496,10,Right,tensor(12.9785),Yes
496,22,Right,tensor(27.1834),Yes
496,32,Left,tensor(25.5046),Yes
497,34,Right,tensor(112.8667),No
497,27,Left,tensor(64.9272),Yes
497,10,Right,tensor(9.5577),Yes
497,22,Right,tensor(25.9649),Yes
497,32,Left,tensor(24.7933),Yes
498,34,Right,tensor(103.8952),No
498,27,Left,tensor(63.9251),Yes
498,10,Right,tensor(12.2377),Yes
498,22,Right,tensor(30.8212),Yes
498,32,Left,tensor(19.8143),Yes
499,34,Right,tensor(104.7917),No
499,27,Left,tensor(62.5667),Yes
499,10,Right,tensor(11.8877),Yes
499,22,Right,tensor(27.2621),Yes
499,32,Left,tensor(20.0435),Yes
500,34,Right,tensor(98.2611),No
500,27,Left,tensor(68.3876),Yes
500,10,Right,tensor(12.4092),Yes
500,22,Right,tensor(26.0688),Yes
500,32,Left,tensor(20.1059),Yes
501,34,Right,tensor(97.3097),No
501,24,Left,tensor(67.2872),Yes
501,10,Right,tensor(12.3230),Yes
501,18,Right,tensor(24.3724),Yes
501,32,Left,tensor(23.0156),Yes
502,34,Right,tensor(88.3762),No
502,18,Right,tensor(24.7721),Yes
502,24,Left,tensor(68.1824),No
502,10,Right,tensor(11.8305),Yes
502,32,Left,tensor(21.5839),Yes
503,34,Right,tensor(80.9632),No
503,10,Right,tensor(10.3886),Yes
503,17,Right,tensor(22.8618),Yes
503,32,Left,tensor(29.6583),Yes
504,34,Right,tensor(78.9811),No
504,17,Right,tensor(21.9630),Yes
504,10,Right,tensor(10.1645),Yes
504,32,Left,tensor(21.8432),Yes
505,34,Right,tensor(72.0966),No
505,17,Right,tensor(21.2953),Yes
505,10,Right,tensor(10.8995),Yes
505,32,Left,tensor(24.8547),Yes
506,34,Right,tensor(0.0323),No
506,17,Right,tensor(0.0002),Yes
506,10,Right,tensor(0.0411),No
506,32,Left,tensor(0.0001),Yes
507,34,Right,tensor(154.2386),No
507,17,Right,tensor(41.8585),Yes
507,10,Right,tensor(24.5700),Yes
507,32,Left,tensor(52.7543),Yes
508,34,Right,tensor(80.5072),No
508,10,Right,tensor(9.7817),Yes
508,13,Right,tensor(19.3951),Yes
508,32,Left,tensor(26.9635),Yes
509,34,Right,tensor(0.0297),No
509,10,Right,tensor(0.0158),Yes
509,13,Right,tensor(0.0011),Yes
509,32,Left,tensor(0.0192),No
510,34,Right,tensor(158.8073),No
510,13,Right,tensor(41.2022),Yes
510,10,Right,tensor(18.5127),Yes
510,32,Left,tensor(56.7489),Yes
511,34,Right,tensor(78.4978),No
511,13,Right,tensor(21.0084),Yes
511,10,Right,tensor(12.2400),Yes
511,32,Left,tensor(26.1005),Yes
512,34,Right,tensor(0.0516),No
512,13,Right,tensor(0.0191),Yes
512,10,Right,tensor(0.1566),No
512,32,Left,tensor(0.0738),Yes
513,34,Right,tensor(136.9256),No
513,13,Right,tensor(32.4098),Yes
513,32,Left,tensor(61.7981),Yes
513,10,Right,tensor(21.5146),Yes
514,34,Right,tensor(65.4130),No
514,13,Right,tensor(18.5175),Yes
514,10,Right,tensor(9.6945),Yes
514,32,Left,tensor(30.6316),Yes
514,36,Left,tensor(13.4014),Yes
515,34,Right,tensor(0.0545),No
515,13,Right,tensor(0.0097),Yes
515,10,Right,tensor(0.5077),No
515,32,Left,tensor(0.0115),Yes
515,36,Left,tensor(0.0130),Yes
516,34,Right,tensor(116.2762),No
516,13,Right,tensor(29.4394),Yes
516,10,Right,tensor(19.1567),Yes
516,32,Left,tensor(61.0869),No
516,36,Left,tensor(30.6473),Yes
517,34,Right,tensor(0.0975),No
517,13,Right,tensor(0.0002),Yes
517,10,Right,tensor(0.1023),No
